Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.3627426942179012e6,0.0,0.0,0.0,1.3627426942179012e6
t1,111.62,0.0,0.0,0.0,0.11162000000000001
t2,105.55999999999999,0.0,0.0,0.0,0.10555999999999999
t3,101.05,0.0,0.0,0.0,0.10105
t4,98.78,0.0,0.0,0.0,0.09878
t5,98.43,0.0,0.0,0.0,0.09843
t6,100.17,0.0,0.0,0.0,0.10017
t7,103.9,0.0,0.0,0.0,0.1039
t8,107.27000000000001,0.0,0.0,0.0,0.10727
t9,112.98,0.0,0.0,0.0,0.11298
t10,1240.7052607141309,0.0,0.0,0.0,1.240705260714131
t11,121.96,0.0,0.0,0.0,0.12196
t12,123.21,0.0,0.0,0.0,0.12321
t13,123.81,0.0,0.0,0.0,0.12381
t14,122.7,0.0,0.0,0.0,0.1227
t15,121.49,0.0,0.0,0.0,0.12149
t16,122.19,0.0,0.0,0.0,0.12219
t17,134.1,0.0,0.0,0.0,0.1341
t18,145.39,0.0,0.0,0.0,0.14539
t19,144.54,0.0,0.0,0.0,0.14454
t20,140.12,0.0,0.0,0.0,0.14012
t21,134.94,0.0,0.0,0.0,0.13494
t22,127.72,0.0,0.0,0.0,0.12772
t23,118.77000000000001,0.0,0.0,0.0,0.11877000000000001
t24,108.74000000000001,0.0,0.0,0.0,0.10874
t25,100.25,0.0,0.0,0.0,0.10025
t26,95.11,0.0,0.0,0.0,0.09511
t27,92.64,0.0,0.0,0.0,0.09264
t28,92.08000000000001,0.0,0.0,0.0,0.09208000000000001
t29,94.10000000000001,0.0,0.0,0.0,0.0941
t30,99.24,0.0,0.0,0.0,0.09924
t31,106.96,0.0,0.0,0.0,0.10696
t32,113.29,0.0,0.0,0.0,0.11329
t33,121.05000000000001,0.0,0.0,0.0,0.12105
t34,128.98999999999998,0.0,0.0,0.0,0.12899
t35,134.82,0.0,0.0,0.0,0.13482
t36,137.21,0.0,0.0,0.0,0.13721
t37,136.99,0.0,0.0,0.0,0.13699
t38,136.11,0.0,0.0,0.0,0.13611
t39,135.68,0.0,0.0,0.0,0.13568
t40,137.74,0.0,0.0,0.0,0.13774
t41,150.66000000000003,0.0,0.0,0.0,0.15066000000000002
t42,760.7145957199987,0.0,0.0,0.0,0.7607145957199987
t43,162.3,0.0,0.0,0.0,0.1623
t44,158.38,0.0,0.0,0.0,0.15838
t45,151.97,0.0,0.0,0.0,0.15197
t46,141.89000000000001,0.0,0.0,0.0,0.14189000000000002
t47,129.39999999999998,0.0,0.0,0.0,0.1294
t48,118.08,0.0,0.0,0.0,0.11808
t49,110.57000000000001,0.0,0.0,0.0,0.11057
t50,106.82000000000001,0.0,0.0,0.0,0.10682000000000001
t51,105.02,0.0,0.0,0.0,0.10502
t52,105.24,0.0,0.0,0.0,0.10524
t53,109.00999999999999,0.0,0.0,0.0,0.10901
t54,120.21000000000001,0.0,0.0,0.0,0.12021000000000001
t55,140.03000000000003,0.0,0.0,0.0,0.14003000000000002
t56,151.13,0.0,0.0,0.0,0.15113
t57,153.01000000000002,0.0,0.0,0.0,0.15301
t58,154.06,0.0,0.0,0.0,0.15406
