BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1890376681770734e8,4.884502768299276e6,-5.770915368973626e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.1801735421703301e8
t1,11434.068578250637,1499.2112280686067,-1771.2798063192422,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t2,10828.068578250637,1499.2112280686188,-1771.2798063192565,0.0,0.0,0.0,0.0,0.0,0.0,-10556.0
t3,10377.068578250637,1499.2112280686067,-1771.2798063192422,0.0,0.0,0.0,0.0,0.0,0.0,-10105.0
t4,10150.068578250635,1499.2112280686126,-1771.2798063192495,0.0,0.0,0.0,0.0,0.0,0.0,-9878.0
t5,10115.068578250635,1499.2112280686067,-1771.2798063192422,0.0,0.0,0.0,0.0,0.0,0.0,-9843.0
t6,10289.068578250635,1499.2112280686126,-1771.2798063192495,0.0,0.0,0.0,0.0,0.0,0.0,-10017.0
t7,10152.173933693219,363.11705488884536,-125.29098858206211,0.0,0.0,0.0,0.0,0.0,0.0,-10390.0
t8,11030.722545076784,0.0,-303.7225450767824,0.0,0.0,0.0,0.0,0.0,0.0,-10727.0
t9,11298.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11298.0
t10,9519.92478192191,2339.0752180780887,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11859.0
t11,12195.999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12196.0
t12,12321.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12321.0
t13,12381.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12381.0
t14,12270.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12270.0
t15,12149.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12149.0
t16,12219.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12219.0
t17,10139.508965612147,3270.4910343878537,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13410.0
t18,14539.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14539.0
t19,17056.78035869667,0.0,-2602.780358696669,0.0,0.0,0.0,0.0,0.0,0.0,-14454.0
t20,16643.301028885395,319.5950027512295,-2950.8960316366242,0.0,0.0,0.0,0.0,0.0,0.0,-14012.0
t21,15096.79816928083,833.8464325535119,-2436.6446018343418,0.0,0.0,0.0,0.0,0.0,0.0,-13494.0
