Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,unmet,Total
t269,353.43,0.0,0.0,0.0,0.0,0.35343
t270,390.093,0.0,0.0,0.0,0.0,0.390093
t271,452.397,0.0,0.0,0.0,0.0,0.452397
t272,482.72400000000005,0.0,0.0,0.0,0.0,0.48272400000000004
t273,486.585,0.0,0.0,0.0,0.0,0.486585
t274,487.311,0.0,0.0,0.0,0.0,0.487311
t275,486.354,0.0,0.0,0.0,0.0,0.486354
t276,483.78000000000003,0.0,0.0,0.0,0.0,0.48378000000000004
t277,480.81,0.0,0.0,0.0,0.0,0.48081
t278,480.67800000000005,0.0,0.0,0.0,0.0,0.48067800000000005
t279,477.11400000000003,0.0,0.0,0.0,0.0,0.47711400000000004
t280,478.83000000000004,0.0,0.0,0.0,0.0,0.47883000000000003
t281,496.089,0.0,0.0,0.0,0.0,0.496089
t282,3014.056043843743,0.0,0.0,0.0,0.0,3.014056043843743
t283,2658.2265681401154,0.0,0.0,0.0,0.0,2.6582265681401154
t284,2888.0022596533267,0.0,0.0,0.0,0.0,2.8880022596533266
t285,501.105,0.0,0.0,0.0,0.0,0.501105
t286,467.61,0.0,0.0,0.0,0.0,0.46761
t287,423.522,0.0,0.0,0.0,0.0,0.423522
t288,384.153,0.0,0.0,0.0,0.0,0.384153
t289,357.159,0.0,0.0,0.0,0.0,0.357159
t290,341.781,0.0,0.0,0.0,0.0,0.341781
t291,333.63,0.0,0.0,0.0,0.0,0.33363
t292,332.31000000000006,0.0,0.0,0.0,0.0,0.33231000000000005
t293,340.923,0.0,0.0,0.0,0.0,0.340923
t294,372.636,0.0,0.0,0.0,0.0,0.372636
t295,431.244,0.0,0.0,0.0,0.0,0.431244
t296,466.158,0.0,0.0,0.0,0.0,0.466158
t297,476.02500000000003,0.0,0.0,0.0,0.0,0.47602500000000003
t298,478.56600000000003,0.0,0.0,0.0,0.0,0.47856600000000005
t299,479.259,0.0,0.0,0.0,0.0,0.479259
t300,475.59600000000006,0.0,0.0,0.0,0.0,0.4755960000000001
t301,467.511,0.0,0.0,0.0,0.0,0.467511
t302,461.835,0.0,0.0,0.0,0.0,0.461835
t303,454.08000000000004,0.0,0.0,0.0,0.0,0.45408000000000004
t304,449.955,0.0,0.0,0.0,0.0,0.449955
t305,457.809,0.0,0.0,0.0,0.0,0.457809
t306,489.06000000000006,0.0,0.0,0.0,0.0,0.48906000000000005
t307,503.58000000000004,0.0,0.0,0.0,0.0,0.50358
t308,491.07300000000004,0.0,0.0,0.0,0.0,0.49107300000000004
t309,474.474,0.0,0.0,0.0,0.0,0.474474
t310,450.846,0.0,0.0,0.0,0.0,0.450846
t311,417.747,0.0,0.0,0.0,0.0,0.41774700000000003
t312,383.328,0.0,0.0,0.0,0.0,0.383328
t313,357.852,0.0,0.0,0.0,0.0,0.357852
t314,343.43100000000004,0.0,0.0,0.0,0.0,0.34343100000000004
t315,336.666,0.0,0.0,0.0,0.0,0.336666
t316,333.82800000000003,0.0,0.0,0.0,0.0,0.333828
t317,337.293,0.0,0.0,0.0,0.0,0.337293
t318,351.582,0.0,0.0,0.0,0.0,0.351582
t319,374.02200000000005,0.0,0.0,0.0,0.0,0.374022
t320,398.24399999999997,0.0,0.0,0.0,0.0,0.398244
t321,424.84200000000004,0.0,0.0,0.0,0.0,0.42484200000000005
t322,440.055,0.0,0.0,0.0,0.0,0.44005500000000003
t323,444.60900000000004,0.0,0.0,0.0,0.0,0.44460900000000003
t324,440.946,0.0,0.0,0.0,0.0,0.440946
t325,432.3,0.0,0.0,0.0,0.0,0.4323
t326,421.707,0.0,0.0,0.0,0.0,0.421707
t327,415.074,0.0,0.0,0.0,0.0,0.415074
t328,415.503,0.0,0.0,0.0,0.0,0.415503
t329,429.59400000000005,0.0,0.0,0.0,0.0,0.42959400000000003
t330,464.47499999999997,0.0,0.0,0.0,0.0,0.46447499999999997
t331,478.76399999999995,0.0,0.0,0.0,0.0,0.47876399999999997
t332,466.19100000000003,0.0,0.0,0.0,0.0,0.466191
t333,451.63800000000003,0.0,0.0,0.0,0.0,0.45163800000000004
t334,430.78200000000004,0.0,0.0,0.0,0.0,0.43078200000000005
t335,402.666,0.0,0.0,0.0,0.0,0.402666
t336,374.02200000000005,0.0,0.0,0.0,0.0,0.374022
t337,308.71500000000003,0.0,0.0,0.0,0.0,0.308715
t338,298.38599999999997,0.0,0.0,0.0,0.0,0.298386
t339,294.55800000000005,0.0,0.0,0.0,0.0,0.29455800000000004
t340,294.75600000000003,0.0,0.0,0.0,0.0,0.294756
t341,305.514,0.0,0.0,0.0,0.0,0.305514
t342,339.63599999999997,0.0,0.0,0.0,0.0,0.339636
t343,395.37300000000005,0.0,0.0,0.0,0.0,0.39537300000000003
t344,432.86100000000005,0.0,0.0,0.0,0.0,0.43286100000000005
t345,446.16,0.0,0.0,0.0,0.0,0.44616
t346,451.737,0.0,0.0,0.0,0.0,0.451737
t347,456.819,0.0,0.0,0.0,0.0,0.45681900000000003
t348,456.852,0.0,0.0,0.0,0.0,0.456852
t349,453.156,0.0,0.0,0.0,0.0,0.453156
t350,449.757,0.0,0.0,0.0,0.0,0.449757
t351,442.464,0.0,0.0,0.0,0.0,0.442464
t352,437.4150000000001,0.0,0.0,0.0,0.0,0.43741500000000005
t353,437.481,0.0,0.0,0.0,0.0,0.437481
t354,442.59600000000006,0.0,0.0,0.0,0.0,0.44259600000000004
t355,446.952,0.0,0.0,0.0,0.0,0.446952
t356,465.82800000000003,0.0,0.0,0.0,0.0,0.465828
t357,466.62000000000006,0.0,0.0,0.0,0.0,0.46662000000000003
t358,434.28,0.0,0.0,0.0,0.0,0.43428
t359,390.02700000000004,0.0,0.0,0.0,0.0,0.39002700000000007
t360,348.90900000000005,0.0,0.0,0.0,0.0,0.348909
t361,324.192,0.0,0.0,0.0,0.0,0.32419200000000004
t362,311.751,0.0,0.0,0.0,0.0,0.311751
t363,306.07500000000005,0.0,0.0,0.0,0.0,0.30607500000000004
t364,305.61299999999994,0.0,0.0,0.0,0.0,0.30561299999999997
t365,316.14000000000004,0.0,0.0,0.0,0.0,0.31614000000000003
t366,348.97499999999997,0.0,0.0,0.0,0.0,0.348975
t367,403.16100000000006,0.0,0.0,0.0,0.0,0.40316100000000005
t368,437.11800000000005,0.0,0.0,0.0,0.0,0.43711800000000006
t369,443.91600000000005,0.0,0.0,0.0,0.0,0.44391600000000003
t370,446.754,0.0,0.0,0.0,0.0,0.44675400000000004
t371,449.6910000000001,0.0,0.0,0.0,0.0,0.44969100000000006
t372,448.602,0.0,0.0,0.0,0.0,0.448602
t373,445.92900000000003,0.0,0.0,0.0,0.0,0.445929
t374,444.807,0.0,0.0,0.0,0.0,0.444807
t375,438.80100000000004,0.0,0.0,0.0,0.0,0.43880100000000005
t376,433.653,0.0,0.0,0.0,0.0,0.433653
t377,434.379,0.0,0.0,0.0,0.0,0.434379
t378,437.84400000000005,0.0,0.0,0.0,0.0,0.43784400000000007
t379,440.84700000000004,0.0,0.0,0.0,0.0,0.44084700000000004
t380,460.38300000000004,0.0,0.0,0.0,0.0,0.46038300000000004
t381,462.132,0.0,0.0,0.0,0.0,0.462132
t382,430.51800000000003,0.0,0.0,0.0,0.0,0.430518
t383,386.166,0.0,0.0,0.0,0.0,0.386166
t384,346.137,0.0,0.0,0.0,0.0,0.34613700000000003
t385,321.453,0.0,0.0,0.0,0.0,0.321453
t386,308.682,0.0,0.0,0.0,0.0,0.308682
t387,303.00600000000003,0.0,0.0,0.0,0.0,0.30300600000000005
t388,303.00600000000003,0.0,0.0,0.0,0.0,0.30300600000000005
t389,313.104,0.0,0.0,0.0,0.0,0.313104
t390,345.9390000000001,0.0,0.0,0.0,0.0,0.34593900000000005
t391,400.785,0.0,0.0,0.0,0.0,0.400785
t392,437.481,0.0,0.0,0.0,0.0,0.437481
t393,446.68800000000005,0.0,0.0,0.0,0.0,0.44668800000000003
t394,448.23900000000003,0.0,0.0,0.0,0.0,0.44823900000000005
t395,450.35100000000006,0.0,0.0,0.0,0.0,0.45035100000000006
t396,449.163,0.0,0.0,0.0,0.0,0.44916300000000003
t397,444.675,0.0,0.0,0.0,0.0,0.444675
t398,442.6290000000001,0.0,0.0,0.0,0.0,0.44262900000000005
t399,437.4150000000001,0.0,0.0,0.0,0.0,0.43741500000000005
t400,432.86100000000005,0.0,0.0,0.0,0.0,0.43286100000000005
t401,433.95000000000005,0.0,0.0,0.0,0.0,0.43395000000000006
t402,438.603,0.0,0.0,0.0,0.0,0.438603
t403,443.058,0.0,0.0,0.0,0.0,0.443058
t404,462.858,0.0,0.0,0.0,0.0,0.462858
t405,462.82500000000005,0.0,0.0,0.0,0.0,0.46282500000000004
t406,432.069,0.0,0.0,0.0,0.0,0.43206900000000004
t407,388.87200000000007,0.0,0.0,0.0,0.0,0.38887200000000005
t408,349.371,0.0,0.0,0.0,0.0,0.349371
t409,323.664,0.0,0.0,0.0,0.0,0.323664
t410,310.167,0.0,0.0,0.0,0.0,0.31016699999999997
t411,303.996,0.0,0.0,0.0,0.0,0.303996
t412,303.831,0.0,0.0,0.0,0.0,0.303831
t413,313.269,0.0,0.0,0.0,0.0,0.313269
t414,346.46700000000004,0.0,0.0,0.0,0.0,0.346467
t415,400.488,0.0,0.0,0.0,0.0,0.400488
t416,435.336,0.0,0.0,0.0,0.0,0.435336
t417,444.213,0.0,0.0,0.0,0.0,0.444213
